rank,trend,window_start,window_end,days_with_data,total_views_in_window,avg_views_per_day,est_views_per_month,peak_date,peak_views,peak_to_mean_daily_ratio,recent_30d_avg_views,prior_30d_avg_views,pct_change_recent_vs_prior_30d,momentum,trend_status,lcd_line1,lcd_line2
1,BonziBuddy,2026-01-30,2026-04-30,90,46283,514.26,15652.3,2026-02-26,948,1.84,486.0,580.67,-16.3,Fading,fading,BonziBuddy,Status: Fading
2,Brain–computer interface,2026-01-30,2026-04-30,90,39797,442.19,13458.8,2026-02-09,598,1.35,399.03,458.57,-13.0,Fading,fading,Brain–computer i,Status: Fading
3,Human–computer interaction,2026-01-30,2026-04-30,90,21997,244.41,7439.1,2026-02-27,336,1.37,231.93,238.03,-2.6,Peaked / Stable,peaked_or_stable,Human–computer i,Status: Peaked /
4,Center for Humane Technology,2026-01-30,2026-04-30,90,8973,99.7,3034.6,2026-03-22,457,4.58,115.03,117.83,-2.4,Peaked / Stable,peaked_or_stable,Center for Human,Status: Peaked /
5,As We May Think,2026-01-30,2026-04-30,90,7783,86.48,2632.1,2026-02-28,275,3.18,80.7,84.3,-4.3,Peaked / Stable,peaked_or_stable,As We May Think,Status: Peaked /
6,Bad Day (viral video),2026-01-30,2026-04-30,90,6310,70.11,2134.0,2026-04-29,1109,15.82,103.37,51.63,100.2,Rising,rising,Bad Day (viral v,Status: Rising
7,10-foot user interface,2026-01-30,2026-04-30,90,3888,43.2,1314.9,2026-02-02,68,1.57,40.73,42.2,-3.5,Peaked / Stable,peaked_or_stable,10-foot user int,Status: Peaked /
8,Computers are social actors,2026-01-30,2026-04-30,90,3345,37.17,1131.2,2026-04-27,70,1.88,38.4,38.0,1.1,Peaked / Stable,peaked_or_stable,Computers are so,Status: Peaked /
9,Conference on Human Factors in Computing Systems,2026-01-30,2026-04-30,90,3221,35.79,1089.3,2026-04-13,76,2.12,39.77,33.7,18.0,Rising,rising,Conference on Hu,Status: Rising
10,Addiction by Design,2026-01-30,2026-04-30,90,2763,30.7,934.4,2026-02-10,104,3.39,30.9,25.97,19.0,Rising,rising,Addiction by Des,Status: Rising
11,Mercedes-Benz COMAND,2026-01-30,2026-04-30,90,2728,30.31,922.6,2026-02-23,71,2.34,27.0,29.43,-8.3,Peaked / Stable,peaked_or_stable,Mercedes-Benz CO,Status: Peaked /
12,Algorithms of Oppression,2026-01-30,2026-04-30,90,2695,29.94,911.4,2026-02-23,67,2.24,26.2,27.5,-4.7,Peaked / Stable,peaked_or_stable,Algorithms of Op,Status: Peaked /
13,Computer-supported cooperative work,2026-01-30,2026-04-30,90,2648,29.42,895.5,2026-02-12,90,3.06,31.17,30.2,3.2,Peaked / Stable,peaked_or_stable,Computer-support,Status: Peaked /
14,3Dconnexion,2026-01-30,2026-04-30,90,2633,29.26,890.4,2026-04-01,59,2.02,33.13,27.63,19.9,Rising,rising,3Dconnexion,Status: Rising
15,Automatic identification and data capture,2026-01-30,2026-04-30,90,2612,29.02,883.3,2026-02-25,95,3.27,22.7,30.57,-25.7,Fading,fading,Automatic identi,Status: Fading
16,Aesthetic–usability effect,2026-01-30,2026-04-30,90,2371,26.34,801.8,2026-03-18,63,2.39,19.77,27.4,-27.9,Fading,fading,Aesthetic–usabil,Status: Fading
17,Cognitive complexity,2026-01-30,2026-04-30,90,1692,18.8,572.2,2026-01-30,48,2.55,18.2,18.63,-2.3,Peaked / Stable,peaked_or_stable,Cognitive comple,Status: Peaked /
18,Cognitive ergonomics,2026-01-30,2026-04-30,90,1680,18.67,568.2,2026-02-11,35,1.87,17.33,18.33,-5.5,Peaked / Stable,peaked_or_stable,Cognitive ergono,Status: Peaked /
19,Cognitive dimensions of notations,2026-01-30,2026-04-30,90,1674,18.6,566.1,2026-03-24,43,2.31,16.9,20.53,-17.7,Fading,fading,Cognitive dimens,Status: Fading
20,Contextual inquiry,2026-01-30,2026-04-30,90,1340,14.89,453.2,2026-03-02,172,11.55,10.53,19.63,-46.3,Fading,fading,Contextual inqui,Status: Fading
21,Card sorting,2026-01-30,2026-04-30,90,1223,13.59,413.6,2026-02-04,28,2.06,13.2,13.0,1.5,Peaked / Stable,peaked_or_stable,Card sorting,Status: Peaked /
22,Cognitive engineering,2026-01-30,2026-04-30,90,1175,13.06,397.4,2026-02-24,25,1.91,13.97,12.13,15.1,Rising,rising,Cognitive engine,Status: Rising
23,Conversational user interface,2026-01-30,2026-04-30,90,1167,12.97,394.7,2026-03-04,48,3.7,11.5,12.7,-9.4,Peaked / Stable,peaked_or_stable,Conversational u,Status: Peaked /
24,Computer-induced medical problems,2026-01-30,2026-04-30,90,1157,12.86,391.3,2026-02-09,31,2.41,12.5,11.63,7.4,Peaked / Stable,peaked_or_stable,Computer-induced,Status: Peaked /
25,3D human–computer interaction,2026-01-30,2026-04-30,90,1134,12.6,383.5,2026-02-25,22,1.75,12.97,13.23,-2.0,Peaked / Stable,peaked_or_stable,3D human–compute,Status: Peaked /
26,Contextual design,2026-01-30,2026-04-30,90,1112,12.36,376.1,2026-03-02,148,11.98,8.77,15.73,-44.3,Fading,fading,Contextual desig,Status: Fading
27,Activity recognition,2026-01-30,2026-04-30,90,1058,11.76,357.8,2026-04-02,21,1.79,11.13,12.23,-9.0,Peaked / Stable,peaked_or_stable,Activity recogni,Status: Peaked /
28,Mike Cooley (engineer),2026-01-30,2026-04-30,90,945,10.5,319.6,2026-02-07,22,2.1,10.27,9.57,7.3,Peaked / Stable,peaked_or_stable,Mike Cooley (eng,Status: Peaked /
29,Augmented cognition,2026-01-30,2026-04-30,90,722,8.02,244.2,2026-03-22,18,2.24,6.47,9.77,-33.8,Fading,fading,Augmented cognit,Status: Fading
30,BioWall,2026-01-30,2026-04-30,80,711,8.89,270.5,2026-03-19,599,67.4,1.0,21.77,-95.4,Fading,fading,BioWall,Status: Fading
31,Context-sensitive user interface,2026-01-30,2026-04-30,90,570,6.33,192.8,2026-04-14,14,2.21,6.67,6.07,9.9,Peaked / Stable,peaked_or_stable,Context-sensitiv,Status: Peaked /
32,Outline of human–computer interaction,2026-01-30,2026-04-30,90,480,5.33,162.3,2026-03-31,15,2.81,5.43,5.57,-2.4,Peaked / Stable,peaked_or_stable,Outline of human,Status: Peaked /
33,ACM Symposium on User Interface Software and Technology,2026-01-30,2026-04-30,90,432,4.8,146.1,2026-04-01,16,3.33,4.53,5.43,-16.6,Fading,fading,ACM Symposium on,Status: Fading
34,Comparison of usability evaluation methods,2026-01-30,2026-04-30,90,421,4.68,142.4,2026-03-02,105,22.45,3.33,7.17,-53.5,Fading,fading,Comparison of us,Status: Fading
35,Animal–computer interaction,2026-01-30,2026-04-30,90,419,4.66,141.7,2026-01-31,16,3.44,3.97,5.03,-21.2,Fading,fading,Animal–computer ,Status: Fading
36,Adaptation (computer science),2026-01-30,2026-04-30,90,406,4.51,137.3,2026-04-19,14,3.1,4.73,4.23,11.8,Rising,rising,Adaptation (comp,Status: Rising
37,Bodystorming,2026-01-30,2026-04-30,90,365,4.06,123.4,2026-03-09,37,9.12,3.1,5.37,-42.2,Fading,fading,Bodystorming,Status: Fading
38,Marcelo Coelho,2026-01-30,2026-04-30,90,351,3.9,118.7,2026-03-30,15,3.85,3.17,4.2,-24.6,Fading,fading,Marcelo Coelho,Status: Fading
39,Computer user satisfaction,2026-01-30,2026-04-30,90,309,3.43,104.5,2026-04-02,13,3.79,3.6,3.8,-5.3,Peaked / Stable,peaked_or_stable,Computer user sa,Status: Peaked /
40,Cortical modem,2026-01-30,2026-04-30,89,284,3.19,97.1,2026-04-26,9,2.82,3.13,3.1,1.1,Peaked / Stable,peaked_or_stable,Cortical modem,Status: Peaked /
41,Computer processing of body language,2026-01-30,2026-04-30,90,282,3.13,95.4,2026-04-02,11,3.51,2.57,3.17,-18.9,Fading,fading,Computer process,Status: Fading
42,Collaborative information seeking,2026-01-30,2026-04-30,90,275,3.06,93.0,2026-02-22,10,3.27,2.33,3.2,-27.1,Fading,fading,Collaborative in,Status: Fading
43,Brain painting,2026-01-30,2026-04-30,88,199,2.26,68.8,2026-03-26,8,3.54,2.33,2.4,-2.8,Peaked / Stable,peaked_or_stable,Brain painting,Status: Peaked /
44,Confederate effect,2026-01-30,2026-04-30,88,169,1.92,58.5,2026-04-21,10,5.21,1.9,1.53,23.9,Rising,rising,Confederate effe,Status: Rising
45,Ben Bederson,2026-01-30,2026-04-30,87,160,1.84,56.0,2026-02-02,7,3.81,1.67,1.53,8.7,Peaked / Stable,peaked_or_stable,Ben Bederson,Status: Peaked /
46,Computer Graphics International,2026-01-30,2026-04-30,86,136,1.58,48.1,2026-03-04,9,5.69,1.73,1.7,2.0,Peaked / Stable,peaked_or_stable,Computer Graphic,Status: Peaked /
47,CMN-GOMS,2026-01-30,2026-04-30,85,114,1.34,40.8,2026-01-30,9,6.71,1.17,1.3,-10.3,Fading,fading,CMN-GOMS,Status: Fading
48,Alerting system,2026-01-30,2026-04-30,78,88,1.13,34.3,2026-02-17,5,4.43,1.33,0.83,60.0,Rising,rising,Alerting system,Status: Rising
49,Barrier pointing,2026-01-30,2026-04-30,83,86,1.04,31.5,2026-03-15,7,6.76,0.77,1.43,-46.5,Fading,fading,Barrier pointing,Status: Fading
50,Cognitive infocommunications,2026-01-30,2026-04-30,83,77,0.93,28.2,2026-03-31,9,9.7,0.93,1.07,-12.5,Fading,fading,Cognitive infoco,Status: Fading
