decade,year,title,term,category,line_text,first_tech_position,first_tech_category
1990,1999,10 things i hate about you,call,communication,Good call.,0.5,communication
1990,1992,1492: conquest of paradise,call,communication,Call them.,0.0,communication
1990,1992,1492: conquest of paradise,call,communication,All I have to do is call the guards.,0.5555555555555556,communication
1990,1992,1492: conquest of paradise,call,communication,"Yes.  It would be a pity, wouldn't it?  Call him back!",0.7407407407407407,communication
2000,2001,15 minutes,call,communication,Thirty-percent.  No more.  Or I call another lawyer.  This is the biggest case of your life.  Don't try to negotiate.  Thirty percent.  Say yes or no.,0.21333333333333335,communication
2000,2001,15 minutes,call,communication,I came to see how the investigation was going.  I called and you're not here.  I wait up at the station and you don't even show up!!!  I beep you - you don't return my call.  Where the hell have you been?!,0.8195121951219512,communication
2000,2001,15 minutes,television,communication,"How you go out on a limb for somebody is by giving her a number of an Immigration lawyer.  Here, here's a number of an Immigration lawyer.  That's how you help her. But you can't get involved in her like that.  You're gonna jeopardize your career, your life and you're gonna jeopardize my case.  And lemme give you another piece of advice.  Maybe you don't watch TV but I'll let you in on a little secret - the whole fuckin' world watches television.  And when you get out there, they know your face.  And the little fame, the little fuckin' itty bitty fame that I get in this city makes it a lot easier for my job.  And I get more done because of it.",0.674347158218126,communication
2000,2001,15 minutes,tv,communication,"How you go out on a limb for somebody is by giving her a number of an Immigration lawyer.  Here, here's a number of an Immigration lawyer.  That's how you help her. But you can't get involved in her like that.  You're gonna jeopardize your career, your life and you're gonna jeopardize my case.  And lemme give you another piece of advice.  Maybe you don't watch TV but I'll let you in on a little secret - the whole fuckin' world watches television.  And when you get out there, they know your face.  And the little fame, the little fuckin' itty bitty fame that I get in this city makes it a lot easier for my job.  And I get more done because of it.",0.674347158218126,communication
2000,2001,15 minutes,call,communication,I'll call it... tails.,0.22727272727272727,communication
2000,2001,15 minutes,call,communication,What would you call her?,0.625,communication
2000,2001,15 minutes,tv,communication,I don't even watch TV.,0.8636363636363636,communication
2000,2001,15 minutes,call,communication,Okay.  Okay.  Hold that thought just for a second.  They only call me when it's an emergency.  Just hold that thought.  Can you call back?,0.4492753623188406,communication
2000,2001,15 minutes,phone,communication,Answer the phone.,0.6470588235294118,communication
2000,2001,15 minutes,phone,communication,Don't worry about the damn phone.  I won't answer it.,0.5094339622641509,communication
2000,2001,15 minutes,call,communication,If you don't want my film - I'll call another show.  And they will show it.,0.44,communication
2000,2001,15 minutes,television,communication,Million?!  The killer gets one million dollars for a television interview?,0.7162162162162162,communication
